id,text,author
id21482,dear fellow joking said passable skull indeed may say excellent skull according vulgar notions specimens physiology scarabæus must queerest scarabæus world resembles,EAP
id03072,vaow afur gawd dunt know wants hes tryin dew,HPL
id08617,began answer violence yes yes hate bane poison disgust oh manner changed fixing eyes expression convulsed every nerve member frame none light one life,MWS
id04159,shivered wondered reach light would looked dared,HPL
id18740,slow ravages disease pleasant watch case something subtler puzzling background,HPL
id11321,comte associates turned away lowly abode alchemists form charles le sorcier appeared trees,HPL
id06564,said happened medical school west already made notorious wild theories nature death possibility overcoming artificially,HPL
id01004,besides perdita retirement saw moodiness succeeded forced hilarity marked disturbed sleep painful irritability seen tears scarce ceased flow since beheld big drops disappointed pride caused gather eye pride unable dispel,MWS
id09114,packed chemical instruments materials collected resolving finish labours obscure nook northern highlands scotland,MWS
id27670,ideas friend may summed words,EAP
id15648,definite point among stars claim calling,HPL
id27679,believe shall forced call,EAP
id14878,god knows world ever glimpsed blasphemous shapes loped trotted crawled whatever baffling source images one thing plain,HPL
id15083,yet appearances given beg pardon given learned future ages ashimah syrians,EAP
id24979,skin embrowned sun step firm conscious power,MWS
id20087,slums along main street would find old georgian churches long abandoned,HPL
id06500,believe sir forgotten pay brandy water,EAP
id21174,started forward exclaimed villain sign death warrant sure safe,MWS
id23958,eyes stayed whole glared propulsive dilated incandescence grew face around charred dwindled,HPL
id13881,determined extract condense glory power achievement might resulted long reign three years protectorate,MWS
id01306,advertisement picking boat,EAP
id15580,baffled excavators sought conference superintendent ordered great lengths rope taken pit spliced lowered without cessation till bottom might discovered,HPL
id07787,received orders taken brought earl lenity made expect conclusion considered ill befitting crime,MWS
id13315,lean nith remarked one seen old man wife since night cats away,HPL
id02772,six years elapsed passed dream one indelible trace stood place last embraced father departure ingolstadt,MWS
id19806,kidds accumulations immense well known,EAP
id05293,looked beheld head rise black liquid deep sunken eyes open terror thin shadowed lips part scream frightful uttered,HPL
id17840,high summits one one drop everlasting dews,EAP
id10113,spent many hours tears mournful meditation past twelve oclock peace house gentle air stole window rustle leaves twining plants shadowed,MWS
id17270,traditionally receptive ears small boy learned much though habitual secretiveness caused tell one information resolve,HPL
id24267,understand words know certain things made feel certain emotions fancied unremembered dream must responsible,HPL
id21317,look weep two years never enjoyed one moment free anguish,MWS
id24125,indeed demonstrable every impulse given air must end impress every individual thing exists within universe infinite understanding imagined might trace remote undulations impulse trace upward onward influences upon particles matter upward onward ever modifications old forms words creation new found reflected unimpressive last back throne godhead,EAP
id02655,justine called defence,MWS
id18911,engagement broken galpin moved east begin life anew long appletonians heard dismissal disgrace new york university obtained instructorship english,HPL
id26487,narrow head bulging watery blue eyes seemed never wink flat nose receding forehead chin singularly undeveloped ears,HPL
id05457,remembered earliest stage speculations upon possibility passage moon existence vicinity atmosphere dense proportion bulk planet entered largely calculations spite many theories contrary may added spite general disbelief existence lunar atmosphere,EAP
id07762,words flowed spontaneously utterance firm quick,MWS
id22890,rare affliction course could bring vast radical anatomical changes single individual maturity changes involving osseous factors basic shape skull even aspect baffling unheard visible features malady whole,HPL
id12353,fled accursed castle along bogs edge heard new sound common yet unlike heard kilderry,HPL
id05582,try navigate first bold flight reaction taken something soul,HPL
id21404,bear attempting swim lofoden moskoe caught stream borne roared terribly heard shore,EAP
id14312,obeyed injunctions passed year exile cumberland,MWS
id18834,reverted past life successes greece favour home,MWS
id06817,murderers casting would failed attach weight,EAP
id23484,short inevitable sleep seemed older whilst friend aged rapidity almost shocking,HPL
id05876,look hands executed deed think heart imagination conceived long moment hands meet eyes imagination haunt thoughts,MWS
id22987,horrible sights shaped turbid cloud hovered city relief derived struggles made approach gate,MWS
id05449,order reach said would soar abysses emptiness burning every obstacle stood way,HPL
id24399,pierre moreau tobacconist deposes habit selling small quantities tobacco snuff madame lespanaye nearly four years,EAP
id11413,still quickened pace,EAP
id03950,resolved fly far scene misfortunes hated despised every country must equally horrible,MWS
id08447,spirit wisdom among ancient hebrews believed gates heaven would inevitably opened sinner saint good lungs implicit confidence vociferate word amen spirit wisdom great plague raged athens every means vain attempted removal epimenides laertius relates second book philosopher advised erection shrine temple proper god lyttleton barry,EAP
id21568,feel confident never would dreamed taking residence alexander great nopolis aware alexander great nopolis lived gentleman named john smith rightly remember many years quietly grown fat editing publishing alexander great nopolis gazette,EAP
id25461,protect first latter commit charge,MWS
id01207,miserable may render wretched ought die,MWS
id08041,police heard shot old tillinghast house found us tillinghast dead unconscious,HPL
id03570,even possible train ideas would never received fatal impulse led ruin,MWS
id09713,entered army initiative rather natural result enlistment man whose indispensable assistant celebrated boston surgical specialist dr herbert west,HPL
id12320,last link chapter life forever closed valued highly,HPL
id18040,longer meditated upon intense grew interest excited within,EAP
id27756,often repined trust singleness affection undisturbed together unchecked fear opened heart fullest delight,MWS
id15641,nothing grotesque bones skeletons strowed stone crypts deep among foundations,HPL
id11826,full thought remained silent considerable part ride length said must apologize abstraction truth rylands motion comes night considering reply,MWS
id06472,thing described language abysms shrieking immemorial lunacy eldritch contradictions matter force cosmic order,HPL
id04172,add dilemma found pumps choked nearly useless,EAP
id23387,means ignorant men found little difficulty gaining purpose,EAP
id16818,queer damnably queer uncle spoke almost sheepishly half expecting believed declared strange faces many unmistakably borne features harris family,HPL
id09068,three months night passed greater part engaged personally ransacking hotel,EAP
id15774,raymond wonder thus situated artist shrunk notice alter resolve,MWS
id17128,long magic farther hills sigh secrets peer like green reefs bottomless sea,HPL
id08079,endured punishment pain defence spirit hero claimed reward praise obedience,MWS
id10542,must collect thoughts,MWS
id21056,never imposing upon one suffered one play possum,EAP
id12080,said though confess thoughts occupied pleasantly,MWS
id10888,remained paralysed fear found voice dying breath screamed forth words ever afterward haunted days nights,HPL
id23731,surely custom englishmen receive strangers inhospitably,MWS
id23209,remained confined five months trial took place result deprived fortune condemned perpetual exile native country,MWS
id25905,never stopped swimmin aout river cursed reef satan attic winders got boarded noises heerd haouses want sposed hev nobody em,HPL
id05110,lawrence prominent mock fraternity tappa tappa keg wildest merriest wild merry young roysterers immature collegiate frivolity satisfy,HPL
id12871,limbs save black fur roughly resembled hind legs prehistoric earths giant saurians terminated ridgy veined pads neither hooves claws,HPL
id04666,enticements sufficient conquer fear danger death induce commence laborious voyage joy child feels embarks little boat holiday mates expedition discovery native river,MWS
id27629,adequate bolts two lateral doors connecting rooms proceeded fasten,HPL
id05317,supposition well taught boy thin tall age sufficiently could concealed drawer almost immediately chess board played game chess effected evolutions automaton,EAP
id20597,interspersed room crossing recrossing endless irregularity innumerable benches desks black ancient time worn piled desperately much bethumbed books beseamed initial letters names full length grotesque figures multiplied efforts knife entirely lost little original form might portion days long departed,EAP
id09853,manly courage resistance save us saved,MWS
id09334,silver hair benevolent countenance aged cottager reverence gentle manners girl enticed love,MWS
id19728,commenced inuring body hardship,MWS
id25281,absurdities must pause detail,EAP
id03036,travelled night fearful encountering visage human,MWS
id12020,scarcely recovered senses foretopsail went shreds got storm stay sail pretty well hours ship heading sea much steadily,EAP
id04949,lower portion hidden view head unwieldy bedstead thrust close,EAP
id09194,adrian introduced systematic modes proceeding metropolis unable stop progress death yet prevented evils vice folly rendering awful fate hour still tremendous,MWS
id01172,quarter past eight longer able draw breath without intolerable pain proceeded forthwith adjust around car apparatus belonging condenser,EAP
id21956,professor stricken whilst returning newport boat falling suddenly witnesses said jostled nautical looking negro come one queer dark courts precipitous hillside formed short cut waterfront deceaseds home williams street,HPL
id01830,suddenly wretch animated last burst strength raised hideous head damp sunken pavement,HPL
id25698,ha ha ha said gentleman hi hi hi ho ho ho hu hu hu hu good indeed must astonished mon ami friend wit drole must understand letter,EAP
id22366,true may find opportunity transmitting world fall make endeavour,EAP
id17453,repeat landscape arrangements collocations alone physical nature susceptible exaltation therefore susceptibility improvement one point mystery hitherto unable solve,EAP
id15797,also cut timber began repair unused parts house spacious peaked roofed affair whose rear end buried entirely rocky hillside whose three least ruined ground floor rooms always sufficient daughter,HPL
id14132,meantime folly grieve think,EAP
id22533,extreme darkness stage whose light received fire cauldron joined kind mist floated rendered unearthly shapes witches obscure shadowy,MWS
id25269,sheehans acknowledged centre chicagos subterranean traffic liquor narcotics certain dignity extends even unkempt attachés place lately one lay outside pale dignity one shared squalor filth importance sheehans,HPL
id06356,perhaps gradation copy rendered readily perceptible possibly owed security master air copyist disdaining letter painting obtuse see gave full spirit original individual contemplation chagrin,EAP
id27761,perhaps effect surroundings mind early acquired shade melancholy,HPL
id04015,ought hear though old timers tell black reef coast devil reef call,HPL
id08936,prince provided appliances pleasure,EAP
id02672,week tasted full joys charnel conviviality must describe thing happened borne away accursed abode sorrow monotony,HPL
id01301,see enough tell ye mis corey dunt mean good think men folks ought git party suthin,HPL
id11714,recognised school sculpture animated terrible object yet centuries even thousands years seemed recorded dim greenish surface unplaceable stone,HPL
id22514,long time dared hope unobstructed breathing moisture suffused forehead tokens longer mistaken departure mortal malady ventured whisper news change idris length succeeded persuading spoke truth,MWS
id25671,comprehended moreover true character august aims supreme majesty dignity poetic sentiment,EAP
id27169,else immortality man,EAP
id07849,laid second tier third fourth heard furious vibrations chain,EAP
id03066,became disconcerting even gruesome companion yet gratitude healing could well abandon strangers around careful dust room attend needs day muffled heavy ulster bought especially purpose,HPL
id19449,longed love filled overflowing,EAP
id15830,lambent glow sort always played old woman small furry thing lighter sharper dreams prefaced plunge unknown abysses thought wakeful second person could see dream luminance utterly beyond sane harbourage,HPL
id26636,first thought perdita must return must support drawing food despair might best sustain wounded heart recalling wild excesses grief austere laws duty soft tenderness regret,MWS
id00037,owned affinity mankind nature akin mountains sky friends winds heaven offspring earth playmates focus mighty mirror felt life mingle universe existence,MWS
id25376,uninquiring souls let occurrence pass one major clashes spasmodic war liquor,HPL
id01019,rigging found ill fitted greatly strained third day blow five afternoon mizzen mast heavy lurch windward went board,EAP
id04152,alfred stood immoveable whole attention absorbed,MWS
id19373,beyond rusted railway rowley road led flat marshy terrain dotted islets higher dryer scrub grown land,HPL
id04861,williamson records traditions supplied abundance grandfather though orne material depend uncle walter put disposal contents files including notes letters cuttings heirlooms photographs miniatures,HPL
id17577,closer scrutiny however satisfied intended kid ha ha said sure right laugh million half money serious matter mirth establish third link chain find especial connexion pirates goat pirates know nothing goats appertain farming interest,EAP
id17205,cause wonder surely even gang blackguards make haste get home wide river crossed small boats storm impends night approaches,EAP
id03307,connexion two events much palpable true wonder would failure populace appreciate seize,EAP
id09691,heard fears driven people kilderry laughed loudly friend laughed fears vaguest wildest absurd character,HPL
id23247,leave inexorable,MWS
id02698,listened father silence remained time incapable offering reply,MWS
id01371,hate abhorrence equal regard,MWS
id11720,albeit without definite reason instinctively guard advantage new real crisis whatever might turn,HPL
id06141,assured patron perfectly resigned task playing thomas hawk,EAP
id03603,large bruise discovered upon pit stomach produced apparently pressure knee,EAP
id20705,mem hell answer,EAP
id26332,let composition defective let emendation wrought mere arrangement form let emendation submitted every artist world necessity admitted,EAP
id06098,hangman however adjusted noose neck,EAP
id19151,utter horrifying suddenness heard frightful sound,HPL
id01329,boat however must detained,EAP
id13295,started four oclock legrand jupiter dog,EAP
id09591,maps records guide books really tell north end bah guess ill guarantee lead thirty forty alleys networks alleys north prince street arent suspected ten living beings outside foreigners swarm,HPL
id16597,would useless describe playing erich zann dreadful night,HPL
id27949,particular instance understood probable proceeded upon route average diversity accustomed ones,EAP
id27876,noticed particulars others turned eyes upon glorious prospect soon became absorbed contemplation,EAP
id25218,many vessels fired signal guns saluted loud cheers heard surprising distinctness waving caps handkerchiefs,EAP
id27692,party spread hurried room room,EAP
id12312,made vow love train struggles disappointment remorse sought mere sensual enjoyment remedy injurious inroads passion,MWS
id20113,johansen brooded idol cabin attended matters food laughing maniac side,HPL
id27404,latter examined carefully deposited pocket book unlocking escritoire took thence letter gave prefect,EAP
id07585,retired early full dread long time could sleep uncanny silence tower,HPL
id16895,provided sum money together jewels belonged mother departed,MWS
id11003,rushed towards window drawing pistol bosom fired eluded leaped station running swiftness lightning plunged lake,MWS
id08978,xh pxh pxh jxhn dxnt dx sx yxuve gxt tx gx yxu knxw sx gx xnce dxnt gx slxw fxr nxbxdy xwns yxu yxu knxw,EAP
id27809,would sworn writer born brought coffin,EAP
id14246,prodigious number stately palaces,EAP
id04980,might heard return london visit bolters lock connected continued absence might tend greatly alarm,MWS
id04970,man whose name beaufort proud unbending disposition could bear live poverty oblivion country formerly distinguished rank magnificence,MWS
id01654,found side humid pathway dry land sole foot,MWS
id21585,dare ask think right may still misled passion,MWS
id05899,refusing flee watched fade watched felt turn watching greedily eyes imaginable visible,HPL
id04561,soon possible soon dark see,EAP
id20502,since must object indifference contempt better far better avoid expose scornful world chance playing mad game fond foolish icarus,MWS
id18908,shewed dangers children incurred absence length agreed go beyond inclosure forest,MWS
id05906,entire surface metallic enclosure rudely daubed hideous repulsive devices charnel superstition monks given rise,EAP
id17324,scene must corresponded sealed loft overhead begun attack imagination violently later impressions faint hazy,HPL
id26919,mille tonnerres ejaculated prince de grenouille,EAP
id08711,remains half finished creature destroyed lay scattered floor almost felt mangled living flesh human,MWS
id20240,plain owner come home come land balloon airship could imagined,HPL
id27940,others thought still think hed found old pirate cache devil reef,HPL
id11694,saw glass thin dark man medium stature attired clerical garb anglican church apparently thirty rimless steel bowed glasses glistening beneath sallow olive forehead abnormal height,HPL
id10469,kindly influence ceased act found fettered grief indulging misery reflection,MWS
id12835,sailor looked gigantic animal seized madame lespanaye hair loose combing flourishing razor face imitation motions barber,EAP
id15924,feelings forever stretch begins sink repose finds obliged quit rests pleasure something new engages attention also forsakes novelties,MWS
id04515,father safie cause ruin,MWS
id00960,matter impossible,EAP
id23496,said baron turning abruptly toward speaker dead say indeed true lord noble name imagine unwelcome intelligence,EAP
id09682,length one escaping sewer gave freedom rest,EAP
id17159,children said firmest hopes future happiness placed prospect union,MWS
id03633,mean line perdidit antiquum litera sonum,EAP
id16054,establishing tea pot expected field,EAP
id06053,would left nothing behind number would enabled carry,EAP
id10265,time place circumstances rendered matter beyond question,EAP
id16601,developed strange caprices acquiring fondness exotic spices egyptian incense till room smelled like vault sepulchred pharaoh valley kings,HPL
id11834,made special effects indeed wrought fluid special impulses subject exact calculation became easy determine precise period impulse given extent would engirdle orb impress ever every atom atmosphere circumambient,EAP
id15959,yes reason despair,EAP
id26296,haowd ye like hear comes awful reef every may eve hallowmass,HPL
id11366,alienists listened keen attention words since curiosity aroused high pitch suggestive yet mostly conflicting incoherent stories family neighbours,HPL
id08827,must midnight least birch decided could get transom,HPL
id25430,win shall deny grief know secret pour balm soul shall enjoy ravishing delight beholding smile seeing eyes beam pleasure least gentle love thankfulness,MWS
id15283,must careful give thing downright improviso air,EAP
id06697,uncle began slowly grudgingly unwrap things urged shocked strangeness frequent hideousness designs,HPL
id20445,looked subtle curious sense beckoning seemed superadded grim repulsion oddly enough found overtone disturbing primary impression,HPL
id16418,curious although differed widely mass hispanicised tribal indians romero gave least impression caucasian blood,HPL
id15440,ferdinand fitz fossillus feltspar,EAP
id26888,termination sentence started moment paused appeared although concluded excited fancy deceived appeared remote portion mansion came indistinctly ears might exact similarity character echo stifled dull one certainly cracking ripping sound sir launcelot particularly described,EAP
id27413,indications afforded barometer find ascensions surface earth height feet left us one thirtieth entire mass atmospheric air ascended nearly one third far elevation cotopaxi surmounted one half material events one half ponderable body air incumbent upon globe,EAP
id07783,task seemed interminable raged almost violently hermit saw hours slipping breathless foodless round vain telephoning hectic quest place place hither thither subway surface car,HPL
id15961,soon arrived hut door ajar,MWS
id19221,great great grandmother,HPL
id12753,moment almost paralized fear energy returned demanded guide accompany following steps,MWS
id03421,could pleasure destroyed cottage inhabitants glutted shrieks misery,MWS
id20021,breathed longer,EAP
id18395,existing moon,EAP
id11491,diminutive head gilded hair,EAP
id22139,child born alive house century half,HPL
id18644,september approached clouds began clear,HPL
id26078,remembered one harshest moments quotation mine roused anger disdain,MWS
id15507,adaptation eyes behold upon earth,EAP
id23587,times screams became insupportable long periods would utter shrieking horrors necessitated sons temporary residence cousin peleg harris presbyterian lane near new college building,HPL
id25959,nothing like order arrangement,EAP
id08838,pictorial carving however hold spellbound,HPL
id14923,grave deep fully good previous specimen thing risen uttered sound,HPL
id26470,two hours occurrence heard ground sea night ice broke freed ship,MWS
id02383,accordingly sooner seated card table pretty hostess vis à vis propounded questions solution become matter essential peace,EAP
id24619,company followed example without stint,EAP
id07263,pursue guesses right call since shades reflection upon based scarcely sufficient depth appreciable intellect since could pretend make intelligible understanding another,EAP
id19358,daughter lay prostrate motionless swooned,EAP
id05571,abysses means vacant crowded indescribably angled masses alien hued substance appeared organic others seemed inorganic,HPL
id15343,past churchyard houses could see hills summit watch glimmer stars harbour though town invisible dark,HPL
id10482,whenever fell upon blood ran cold degrees gradually made mind take life old man thus rid eye forever,EAP
id27020,upon occasion driven sea spite everything whirlpools threw us round round violently length fouled anchor dragged drifted one innumerable cross currents day gone morrow drove us lee flimen good luck brought,EAP
id15133,disappointment sickness hitherto held dominion twin born would ever enchained shall tyrants,MWS
id16417,perfume nostrils died away,EAP
id25311,adrian led troops,MWS
id07402,tension part became great,HPL
id01064,yet smiled still uncomplainingly saw painter high renown took fervid burning pleasure task wrought day night depict loved yet grew daily dispirited weak,EAP
id05964,earth unwittingly felt distant presence without knowing idly gave blinking beacon name algol daemon star,HPL
id10044,string nerves renew wearied efforts ah,MWS
id06740,furtive trying bolted connecting door receding creaking,HPL
id17439,sun arose sickly yellow lustre clambered degrees horizon emitting decisive light,EAP
id26646,weather cold upon quitting room thrown cloak dressing wrapper putting upon reaching scene play,EAP
id15076,much reward offered say asked dupin,EAP
id19617,still alone much feared unknown horror sought fear thought telling anybody,HPL
id21453,weep sigh must reason force feel sorrow despair,MWS
id19419,conversation long earnest uninterrupted totally unreserved,EAP
id03244,knew things didnt dare put stupid magnalia puerile wonders invisible world,HPL
id20539,briden looked back went mad laughing shrilly kept laughing intervals till death found one night cabin whilst johansen wandering deliriously,HPL
id19740,moreover occupations always made chime ordinary habitudes fellowmen,EAP
id06471,man iranon spoke many others canst thou tell may find aira city marble beryl flows hyaline nithra falls tiny kra sing verdant valleys hills forested yath trees,HPL
id15807,misanthropic said locale would suit,EAP
id12419,childhood shunned house vacant barren gnarled terrible old trees long queerly pale grass nightmarishly misshapen weeds high terraced yard birds never lingered,HPL
id14753,found name good passport preferment procured situation private secretary ambassador vienna enter career best auspices,MWS
id26980,reasons would glad let war separate us reasons found practice medicine companionship west irritating gone ottawa colleagues influence secured medical commission major could resist imperious persuasion one determined accompany usual capacity,HPL
id15735,claim pity redress determined seek justice vainly attempted gain wore human form,MWS
id12769,strove think grandeur glaring infamy planting gold enwoven flag beside tarnished tattered banner proclaimed superiority debasement,MWS
id07126,dwell longer need disastrous circumstances,MWS
id18509,geographically lay two miles northwest base tempest mountain three miles oak girt mansion,HPL
id09082,replied dupin desperate man man nerve,EAP
id04092,upon honor said nose asked,EAP
id07307,heard next morning steward upon arrival terrible state mind passed first night garden lying damp grass sleep groaned perpetually,MWS
id13237,lock connecting door room softly tried,HPL
id03208,probably done view arousing sleep,EAP
id11259,moment eyes mine also fell upon scrap parchment supposed paper,EAP
id22787,throat marks murderous hands left ankle distressing rat bite,HPL
